cislo,spol,ico,sektor,nace,druh,zeme,inv_eur,inv_usd,inv_czk,nova_mista,pod_dane,pob_mista,pob_rekv,pob_pozem,pob_kap,mira_podpory,strop,okres,kraj,region_nuts,podani,rozh_den,rozh_mesic,rozh_rok,msp,zruseno
347,"EKOL, spol. s r.o.",41600983,strojírenský,,výroba,Česká republika,12.566706834222757,14.862168655075532,365,62.0,T,,R,,,0.63,229.7,Brno-město,Jihomoravský,,2006,,2006-11-03 00:00:00,2006,False,False
348,Behr Ostrava s.r.o.,27775763,výroba dopravních prostředků,,výroba,Německo,26.985023239800306,31.91416588623315,783.78,541.0,T,J,R,,,0.5,382.21,Nový Jičín,Moravskoslezský,,2006,,2006-11-03 00:00:00,2006,False,False
349,Muramoto Manufacturing Europe s.r.o.,27248887,strojírenský,,výroba,Česká republika,31.74384575658461,37.54224520542367,922,210.0,T,,,,,0.5,451.52,"Plzeň-jih, Beroun","Středočeský, Plzeňský",,2006,,2006-11-03 00:00:00,2006,False,False
350,EMS-PATVAG s.r.o.,27455823,výroba dopravních prostředků,,výroba,Švýcarsko,32.55637803408504,38.503196384217595,945.6,195.0,T,,R,,,0.48,451.92,Vyškov,Jihomoravský,,2006,,2006-11-03 00:00:00,2006,False,False
351,SQS Vláknová optika a.s.,60913037,elektronický a elektrotechnický,,výroba,Česká republika,89.94215871922877,106.37118775194429,2612.37,2143.0,T,,,,,0.63,1265.08,Jičín,Královéhradecký,,2006,,listopad,2006,True,True
352,TRW - DAS a.s.,48244716,výroba dopravních prostředků,,výroba,Německo,20.64547999341347,27.88204945739192,626.9,100.0,T,,,,,0.46,288.37,Jindřichův Hradec,Jihočeský,,2005,,2006-11-03 00:00:00,2006,False,False
353,Faurecia Automotive Czech Republic s.r.o.,26100045,výroba dopravních prostředků,,výroba,Německo,69.81063724683024,94.28037715708949,2119.8,1056.0,T,,,,,0.46,802.67,Písek,Jihočeský,,2005,,2006-11-03 00:00:00,2006,False,False
354,"Rieger Automotive International, a.s.",27776999,výroba dopravních prostředků,,výroba,Švýcarsko,7.709534002963939,10.411848425547054,234.1,60.0,T,J,R,,,0.65,152.17,Nový Jičín,Moravskoslezský,,2005,,2006-11-03 00:00:00,2006,False,True
355,"ALUKROM, s.r.o.",27382303,kovodělný a kovozpracující,,výroba,Španělsko,6.861518195290631,9.266589574808751,208.35,69.0,T,,,,,0.65,119.45,Mladá Boleslav,Středočeský,,2005,,2006-11-03 00:00:00,2006,True,True
356,Playmobil CZ spol. s r.o.,25203282,gumárenský a plastikářský,,výroba,Německo,7.22213074263132,9.75360256182174,219.3,65.0,T,,,,,0.49,103.81,Cheb,Karlovarský,,2005,,2006-11-03 00:00:00,2006,False,True
