cislo,spol,ico,sektor,nace,druh,zeme,inv_eur,inv_usd,inv_czk,nova_mista,pod_dane,pob_mista,pob_rekv,pob_pozem,pob_kap,mira_podpory,strop,okres,kraj,region_nuts,podani,rozh_den,rozh_mesic,rozh_rok,msp,zruseno
1,"Hayes Lemmerz Alukola, s.r.o.",25823621,výroba dopravních prostředků,,výroba,Itálie,23.54121204154069,26.000058075381844,895.39,227.0,T,J,R,,,0.5,,Ostrava,Moravskoslezský,,1998,,červenec,1998,False,False
2,AEG components s.r.o.,25610562,elektronický a elektrotechnický,,výroba,Německo,22.78953595372683,25.169870491898482,866.8,245.0,T,,R,,,0.5,,Jičín,Královéhradecký,,1998,,červenec,1998,False,False
3,"Showa Aluminium Czech, s.r.o.",25149318,výroba dopravních prostředků,,výroba,Japonsko,23.79255948468516,26.277658400603983,904.95,197.0,T,J,R,,,0.5,,Kladno,Středočeský,,1998,,září,1998,False,False
4,Toray Textiles Central  Europe s.r.o.,25500040,textilní,,výroba,Japonsko,43.64401209412384,48.20256693187758,1660,340.0,T,J,R,,,0.5,,Prostějov,Olomoucký,,1998,,září,1998,False,False
5,ŠKODA AUTO a.s.,177041,výroba dopravních prostředků,,výroba,Německo,499.4347311686605,551.5999767698472,18996,600.0,T,,R,,,0.045,,Mladá Boleslav,Středočeský,,1998,,prosinec,1998,False,False
6,PEGAS – DS a.s.,25554247,textilní,,výroba,Česká republika,19.758117523333773,21.82182472849759,751.5,40.0,T,J,R,,,0.5,,Znojmo,Jihomoravský,,1998,,leden,1999,False,False
7,HELLA AUTOTECHNIK NOVA s.r.o.,25834151,výroba dopravních prostředků,,výroba,Německo,31.61824635204417,34.9207271037807,1202.6,110.0,T,J,R,,,0.5,,Šumperk,Olomoucký,,1998,,leden,1999,False,False
8,AVX Czech Republic s.r.o.,46508171,elektronický a elektrotechnický,,výroba,Velká Británie,48.8931247535165,53.999941924618156,1859.65,1100.0,,,R,,,0.5,,Ústí nad Orlicí,Pardubický,,1998,,duben,1999,False,False
9,"VERTEX FABRICS, s.r.o.",25918966,ostatní,,výroba,Německo,23.078691875319368,26.9498773453557,812.97,105.0,T,J,R,,,0.5,,Svitavy,Pardubický,,1999,,červen,1999,False,False
10,EGRES a.s.,25401297,ostatní,,výroba,Itálie,13.281950831771987,15.509845521447987,467.87,100.0,T,J,R,,,0.5,,Ústí nad Labem,Ústecký,,1999,,červen,1999,False,False
11,Lucas Varity s.r.o.,25402081,výroba dopravních prostředků,,výroba,Francie,37.02889910861296,43.24007160379235,1304.38,265.0,T,J,R,,,0.5,,Jablonec nad Nisou,Liberecký,,1999,,červen,1999,False,False
12,Flextronics International s.r.o.,25559834,elektronický a elektrotechnický,,výroba,Nizozemí,16.185204110600125,18.90008618975005,570.14,345.0,T,,R,,,0.5,,Brno,Jihomoravský,,1999,,červen,1999,False,True
13,"Celestica Ráječko, s.r.o.",25765817,elektronický a elektrotechnický,,výroba,Kanada,50.78180889115994,59.29987403036531,1788.84,812.0,T,J,R,,,0.5,,Blansko,Jihomoravský,,1999,,červenec,1999,False,False
14,"Celestica Kladno, s.r.o.",25712519,elektronický a elektrotechnický,,výroba,Francie,8.820473513881792,10.300006629980773,310.71,700.0,T,J,R,L,,0.5,,Kladno,Středočeský,,1999,,červenec,1999,False,False
15,SCHOELLER LITVÍNOV k.s.,61538949,textilní,,výroba,Německo,36.82336910236757,43.000066299807735,1297.14,310.0,,,,,,0.5,,Most,Ústecký,,1999,,říjen,1999,False,False
16,Barco Manufacturing s.r.o.,26118793,elektronický a elektrotechnický,,výroba,Nizozemí,11.988985408505082,14,422.324,150.0,T,J,R,,,0.5,,Kladno,Středočeský,,1999,,říjen,1999,False,False
17,GZ Recordable s.r.o.,26122219,ostatní,,výroba,USA,11.73195934820871,13.699860770403765,413.27,21.0,T,,R,,,0.5,,Beroun,Středočeský,,1999,,říjen,1999,False,False
18,"Continental výroba pneumatik,  s.r.o.",25733770,výroba dopravních prostředků,,výroba,Německo,85.12178504513712,99.39998674003846,2998.5,100.0,T,,,,,0.5,,Zlín,Zlínský,,1999,,říjen,1999,False,False
19,SAINT GOBAIN ORSILA s.r.o.,25931504,ostatní,,výroba,Rakousko,18.240504173053992,21.300139229596233,642.54,15.0,T,,,,,0.5,,Rychnov nad Kněžnou,Královéhradecký,,1999,,říjen,1999,False,True
20,AUTOPAL s.r.o.,48399108,výroba dopravních prostředků,,výroba,USA,56.86197694884461,66.39992044023072,2003.02,167.0,T,J,R,,,0.5,,Nový Jičín,Moravskoslezský,,1999,,listopad,1999,False,False
21,EPCOS s.r.o.,25569341,elektronický a elektrotechnický,,výroba,Německo,36.99454948049736,43.199960220115365,1303.17,510.0,T,,,,,0.5,,Šumperk,Olomoucký,,1999,,prosinec,1999,False,False
22,"AKUMA, a.s.",46352562,výroba dopravních prostředků,,výroba,Lucembursko,19.61051496054051,22.899953590134587,690.8,460.0,T,,R,,,0.5,,Mladá Boleslav,Středočeský,,1999,,leden,2000,False,False
23,Invensys Appliance Controls s.r.o.,25850075,elektronický a elektrotechnický,,výroba,Lucembursko,14.215352296599104,16.599814360538353,500.75,323.0,T,J,R,,,0.5,,Olomouc,Olomoucký,,1999,,leden,2000,False,False
24,MITAS a.s.,12190,výroba dopravních prostředků,,výroba,Česká republika,49.32606597399648,57.599946960153815,1737.56,500.0,T,,,,,0.5,,Praha,Hl. město Praha,,1999,,únor,2000,False,False
25,Glaverbel Czech a.s.,14864576,sklářský,,výroba,Belgie,56.03518005540165,56.470046340237836,2022.87,20.0,T,J,R,,,0.46,,Teplice,Ústecký,,2000,,březen,2000,False,False
26,"Panasonic AVC Networks Czech, s.r.o.",64833054,elektronický a elektrotechnický,,výroba,Japonsko,72.09058171745151,72.65004745687007,2602.47,1440.0,T,,R,,,0.5,,Plzeň-město,Plzeňský,,2000,,březen,2000,False,False
27,LG. Philips Displays Czech Republic s.r.o.,26166453,elektronický a elektrotechnický,,výroba,Nizozemí,624,628.8426106861705,22526.4,3250.0,T,J,R,L,,0.5,,Přerov,Olomoucký,,2000,,březen,2000,False,True
28,Tyco Electronic Czech s.r.o.,48910791,elektronický a elektrotechnický,,výroba,Lucembursko,35.22659279778394,35.49997208419407,1271.68,1200.0,T,J,,,,0.5,,Brno-venkov,Jihomoravský,,2000,,březen,2000,False,False
29,Parker Hannifin Industrial s.r.o.,25415123,výroba dopravních prostředků,,výroba,Německo,8.840912962016693,10.323874560763773,311.43,300.0,T,J,R,,,0.5,,Chomutov,Ústecký,,1999,,duben,2000,False,False
30,Kostelecké uzeniny a.s.,46900411,potravinářský,,výroba,Česká republika,10.915235457063712,10.999944168388142,394.04,550.0,T,,R,,,0.5,,Jihlava,Vysočina,,2000,,duben,2000,False,False
31,"AUTOBATERIE, spol. s r.o.",46709410,výroba dopravních prostředků,,výroba,Německo,18.258171745152353,18.39986600413154,659.12,150.0,T,,R,,,0.5,,Česká Lípa,Liberecký,,2000,,duben,2000,False,False
32,"CONTA, s.r.o.",25413783,ostatní,,výroba,Itálie,42.68975069252077,43.0210485176707,1541.1,197.0,T,J,R,,,0.5,,Louny,Ústecký,,2000,,červenec,2000,False,False
33,VISCOFAN CZ s.r.o.,26021145,gumárenský a plastikářský,,výroba,Španělsko,10.664819944598337,10.747585282787114,385,116.0,T,,,,,0.5,,České Budějovice,Jihočeský,,2000,,září,2000,False,False
34,Rodenstock ČR s.r.o.,61173614,chemický a farmaceutický,,výroba,Německo,12.105263157894736,12.199207191111606,437,30.0,T,,,,,0.5,,Klatovy,Plzeňský,,2000,,září,2000,False,False
35,"KRONOSPAN CR,spol. s r.o.",62417690,dřevozpracující a papírenský,,výroba,Kypr,40.581717451523545,40.89665568644966,1465,12.0,T,,,,,0.5,,Jihlava,Vysočina,,2000,,říjen,2000,False,False
36,OTIS Escalators s.r.o.,25592335,strojírenský,,výroba,Německo,10.637119113573407,10.719669476857796,384,156.0,T,J,R,,,0.5,,Břeclav,Jihomoravský,,2000,,říjen,2000,False,False
37,Saar Gummi Czech s.r.o.,25931857,gumárenský a plastikářský,,výroba,Německo,21.745152354570635,21.913907654513984,785,515.0,T,,,,,0.5,,Náchod,Královéhradecký,,2000,,říjen,2000,False,False
38,"Pittsburgh Corning CR, s.r.o.",26199394,sklářský,,výroba,Belgie,21.911357340720222,22.081402490089886,791,175.0,T,J,R,L,,0.5,,Chomutov,Ústecký,,2000,,říjen,2000,False,False
39,Precision Castparts CZ s.r.o.,25249959,strojírenský,,výroba,USA,18.94736842105263,19.09441125565295,684,100.0,T,,,,,0.5,,Plzeň-město,Plzeňský,,2000,,listopad,2000,False,False
40,"ČESKÁ RAFINÉRSKÁ, a.s.",62741772,koksování a zpracování ropy,,výroba,Česká republika,189.44598337950137,190.91619675060016,6839,0.0,T,,,,,0.3,,Mělník,Středočeský,,2000,,listopad,2000,False,True
41,"Nová Mosilana, a.s.",60710756,textilní,,výroba,Itálie,10.637119113573407,10.719669476857796,384,273.0,T,,,,,0.5,192.0,Brno-město,Jihomoravský,,2000,,prosinec,2000,False,False
42,DANZER BOHEMIA - DÝHÁRNA  s.r.o.,26203901,dřevozpracující a papírenský,,výroba,Německo,19.105263157894736,19.253531349450057,689.7,267.0,T,,,,,0.5,,Mělník,Středočeský,,2000,,prosinec,2000,False,False
43,Danone a.s.,45272972,potravinářský,,výroba,Francie,30.08310249307479,30.316565239238454,1086,0.0,T,,,,,0.5,,Benešov,Středočeský,,2000,,prosinec,2000,False,True
44,Infineon Technologies Trutnov s.r.o.,25298208,elektronický a elektrotechnický,,výroba,Nizozemí,13.434903047091412,13.539165875718831,485,200.0,T,,,,,0.5,242.5,Trutnov,Královéhradecký,,2000,,prosinec,2000,False,False
45,TRUSTFIN - VANGUARD a.s.,26144999,strojírenský,,výroba,USA,16.64819944598338,16.777399363519624,601,192.0,T,J,,,,0.5,211.25,Vsetín,Zlínský,,2000,,leden,2001,False,True
46,"Dura Automotive CZ,  s.r.o.",61173151,výroba dopravních prostředků,,výroba,Německo,18.060941828254848,18.2011054659148,652,200.0,T,,,,,0.5,305.5,Strakonice,Jihočeský,,2000,,leden,2001,False,False
47,DAIHO (CZECH) s.r.o.,26178435,gumárenský a plastikářský,,výroba,Japonsko,17.113573407202214,17.24638490313215,617.8,300.0,T,,,,,0.5,300.65,Plzeň-město,Plzeňský,,2000,,leden,2001,False,False
48,Aisan Bitron Czech s.r.o.,26198436,výroba dopravních prostředků,,výroba,Japonsko,18.41828254847645,18.56121936240299,664.9,170.0,T,J,R,,,0.5,256.45,Louny,Ústecký,,2000,,leden,2001,False,False
49,RAKO a.s.,14803011,ostatní,,výroba,Německo,32.8185595567867,33.073251074758524,1184.75,125.0,T,,,,,0.5,,Rakovník,Středočeský,,2000,,leden,2001,False,True
50,FOXCONN CZ s.r.o.,25938002,elektronický a elektrotechnický,,výroba,Nizozemí,78.67036011080332,79.28088883926078,2840,1930.0,T,,,,,0.5,,Pardubice,Pardubický,,2000,,leden,2001,False,False
51,"Karlovarské minerální vody,  a.s.",14706725,potravinářský,,výroba,Nizozemí,10.110803324099722,10.18926916420077,365,130.0,T,,,,,0.5,182.5,Karlovy Vary,Karlovarský,,2000,,leden,2001,False,False
52,"LOGIT, s.r.o.",63991691,textilní,,výroba,Lucembursko,5.7506925207756225,5.795321310926246,207.6,30.0,T,J,R,,,0.5,90.95,Louny,Ústecký,,2000,,březen,2001,False,False
53,Siemens Automobilové systémy s.r.o.,25849115,výroba dopravních prostředků,,výroba,Německo,35.3185595567867,35.592652559879404,1275,432.0,T,J,R,,,0.5,623.5,Nový Jičín,Moravskoslezský,,2000,,duben,2001,False,False
54,PROWELL  s.r.o.,26207281,papírenský,,výroba,Německo,20.39224376731302,20.55049969292613,736.16,65.0,T,,,,,0.5,,Rokycany,Plzeňský,,2000,,duben,2001,False,False
55,"ONTEX CZ, s.r.o.",44564422,ostatní,,výroba,Belgie,14.84764542936288,14.962871978114007,536,123.0,T,,,,,0.5,255.0,Semily,Liberecký,,2000,,duben,2001,False,False
56,"ESAB VAMBERK, s.r.o.",25118170,strojírenský,,výroba,Nizozemí,11.507839335180055,11.597147004634023,415.433,34.0,T,,,,,0.4,166.173,Rychnov nad Kněžnou,Královéhradecký,,2000,,duben,2001,False,False
57,AGC Automotive Czech a.s.,25012240,sklářský,,výroba,Česká republika,32.49307479224377,32.74524035508905,1173,88.0,T,J,,,,0.5,543.5,Teplice,Ústecký,,2000,,duben,2001,False,False
58,"Panasonic Mobile & Automotive Systems Czech, s.r.o.",26438356,elektronický a elektrotechnický,,výroba,Japonsko,233.37950138504155,235.1906649544972,8425,1182.0,T,,,,,0.5,2286.0,Pardubice,Pardubický,,2000,,duben,2001,False,False
59,"Continental Teves Czech Republic, s.r.o.",62024922,výroba dopravních prostředků,,výroba,Německo,60.41551246537396,60.88437273184076,2181,670.0,T,,,,,0.5,582.0,Jičín,Královéhradecký,,2000,,duben,2001,False,False
60,"Lovochemie, a.s.",49100262,chemický a farmaceutický,,výroba,Česká republika,34.34903047091412,34.6155993523533,1240,0.0,T,,,,,0.4,496.0,Litoměřice,Ústecký,,2000,,červen,2001,False,False
61,KARSIT s.r.o.,25939637,výroba dopravních prostředků,,výroba,Česká republika,12.049861495844874,12.143375579252972,435,310.0,T,,,,,0.5,217.5,Náchod,Královéhradecký,,2000,,červen,2001,False,False
62,"CHEMOPETROL, a.s.",25003887,koksování a zpracování ropy,,výroba,Česká republika,217.53185595567865,219.22003238233486,7852.9,40.0,T,,R,,,0.375,2957.32,Most,Ústecký,,2000,,červen,2001,False,False
63,"Bekaert Petrovice, s.r.o.",25398075,kovodělný a kovozpracující,,výroba,Belgie,20.554016620498615,20.713527999553346,742,7.0,T,J,R,,,0.5,366.0,Karviná,Moravskoslezský,,2000,,červen,2001,False,True
64,Collins & Aikman Automotive s.r.o.,26445221,výroba dopravních prostředků,,výroba,Belgie,5.9247091412742385,5.970688403774217,213.882,150.0,T,J,R,,,0.5,102.893,Hodonín,Jihomoravský,,2000,,červenec,2001,False,False
65,"KOSTAL CR, spol s r.o.",49687131,výroba dopravních prostředků,,výroba,Německo,24.93074792243767,25.12422533638546,900,886.0,T,,,,,0.5,449.2,"Beroun, Příbram",Středočeský,,2000,,červenec,2001,False,False
66,VELVETA a.s.,64052249,textilní,,výroba,Česká republika,9.958448753462603,10.035732231589526,359.5,0.0,T,,,,,0.4,142.6,Děčín,Ústecký,,2000,,červenec,2001,False,False
67,VALEO VÝMĚNÍKY TEPLA s.r.o.,26131056,výroba dopravních prostředků,,výroba,Francie,20.005540166204987,20.160795042152866,722.2,397.0,T,,,,,0.5,334.2,Beroun,Středočeský,,2000,,červenec,2001,False,False
68,Magnesium Elektron Recycling CZ s.r.o.,26449218,chemický a farmaceutický,,výroba,Velká Británie,11.163407202216067,11.250041873708893,402.999,64.0,T,J,R,,,0.5,159.65,Most,Ústecký,,2000,,červenec,2001,False,False
69,FUJIKOKI CZECH s.r.o.,26439913,výroba dopravních prostředků,,výroba,Japonsko,11.085404170237076,10.316595337462454,388.1,110.0,T,J,R,,,0.5,182.4,Louny,Ústecký,,2001,,červenec,2001,False,False
70,"METAL Ústí n. L., a.s.",46708952,výroba dopravních prostředků,,výroba,Německo,17.196675900277008,17.330132320920104,620.8,75.0,T,,,,,0.5,219.0,Ústí nad Labem,Ústecký,,2000,,červenec,2001,False,False
71,Timken Česká Republika s.r.o.,26418495,výroba dopravních prostředků,,výroba,Nizozemí,18.94736842105263,19.09441125565295,684,350.0,T,J,R,,,0.5,308.75,Olomouc,Olomoucký,,2000,,červenec,2001,False,False
72,"TG Safety Systems Czech, s.r.o.",26437171,výroba dopravních prostředků,,výroba,Japonsko,13.822714681440443,13.929987158729272,499,100.0,T,J,R,,,0.5,245.5,Chomutov,Ústecký,,2000,,červenec,2001,False,False
73,SETUZA a.s.,46708707,potravinářský,,výroba,Česká republika,10.044321329639889,10.122271229970409,362.6,0.0,T,,,,,0.5,140.33,Ústí nad Labem,Ústecký,,2000,,srpen,2001,False,False
74,OSRAM Bruntál spol. s r.o.,25863321,elektronický a elektrotechnický,,výroba,Německo,24.57212225078549,22.86796565565273,860.27,438.0,T,J,R,,,0.5,426.626,Bruntál,Moravskoslezský,,2001,,září,2001,False,False
75,CEBALSOL s.r.o.,26424444,ostatní,,výroba,Německo,38.24621536703799,35.59371594141258,1339,150.0,T,J,R,,,0.5,489.0,Kolín,Středočeský,,2001,,září,2001,False,False
76,METAL PROGRES Strakonice spol. s r.o.,60851236,výroba dopravních prostředků,,výroba,Francie,54.672950585546985,50.88120364709322,1914.1,402.0,T,,,,,0.5,739.05,Strakonice,Jihočeský,,2001,,září,2001,False,True
77,Aluczech s.r.o.,26131030,kovodělný a kovozpracující,,výroba,Norsko,10.276273207290071,12,361.992,51.0,,J,R,,,0.5,,Ústí nad Labem,Ústecký,,1999,,říjen,2001,False,True
78,Holzwerke WIMMER s.r.o.,25950665,dřevozpracující a papírenský,,výroba,Německo,38.35119113573407,38.648819161409186,1384.478,82.0,T,,,,,0.5,210.025,Havlíčkův Brod,Vysočina,,2000,,říjen,2001,False,False
79,BOSCH DIESEL s.r.o.,46995129,výroba dopravních prostředků,,výroba,Německo,235.65096952908587,237.47976104070122,8507,1485.0,T,,,,,0.3125,1620.3,Jihlava,Vysočina,,2000,,říjen,2001,False,False
80,VALEO AUTOKLIMATIZACE s.r.o.,49823001,výroba dopravních prostředků,,výroba,Francie,54.64153099114539,50.85196310375076,1913,877.0,T,,,,,0.5,694.0,Rakovník,Středočeský,,2001,,říjen,2001,False,False
81,INDET SAFETY SYSTEMS a.s.,25114638,výroba dopravních prostředků,,výroba,Japonsko,13.910311339617254,12.945586007070895,487,50.0,T,J,R,,,0.5,170.0,Vsetín,Zlínský,,2001,,říjen,2001,False,False
82,"SENIOR, spol. s r.o.",26421658,výroba dopravních prostředků,,výroba,Švýcarsko,9.146814404432133,9.217799117860531,330.2,200.0,T,J,R,,,0.5,98.4,Olomouc,Olomoucký,,2000,,říjen,2001,False,False
83,Federal - Mogul Friction Products a.s.,45534144,výroba dopravních prostředků,,výroba,Velká Británie,16.99514424450157,15.81647571705787,595,195.0,T,,R,,,0.5,227.5,Rychnov nad Kněžnou,Královéhradecký,,2001,,říjen,2001,False,False
84,"Schwan Cosmetics CR, s.r.o.",26036835,ostatní,,výroba,Německo,15.694373036275351,14.605917222680029,549.46,200.0,T,,,,,0.5,265.78,Český Krumlov,Jihočeský,,2001,,říjen,2001,False,False
85,"VITRABLOK, a.s.",14864592,sklářský,,výroba,Itálie,5.3584487534626035,5.400033498967114,193.44,11.0,T,J,R,,,0.5,96.72,Teplice,Ústecký,,2000,,říjen,2001,False,False
86,"Dura Automotive Systems CZ, s.r.o.",26031531,výroba dopravních prostředků,,výroba,Německo,13.601108033240997,13.706660711294735,491,294.0,T,J,R,,,0.5,192.1901,Nový Jičín,Moravskoslezský,,2000,,říjen,2001,False,False
87,JUTA a.s.,45534187,ostatní,,výroba,Česká republika,23.813196229648675,22.161673622371676,833.7,83.0,T,,,,,0.35,228.935,Trutnov,Královéhradecký,,2001,,listopad,2001,False,False
88,"PLOMA, a.s.",25556045,dřevozpracující a papírenský,,výroba,Česká republika,9.300199942873466,8.65520082936814,325.6,59.0,T,J,,,,0.5,121.3,Hodonín,Jihomoravský,,2001,,listopad,2001,False,True
89,MITSUBISHI ELECTRIC AUTOMOTIVE CZECH s.r.o.,26185822,výroba dopravních prostředků,,výroba,Japonsko,35.37396121883656,35.64848417173803,1277,235.0,T,J,R,,,0.5,563.5,Kladno,Středočeský,,2000,,listopad,2001,False,False
90,"MEYSTER CZ, s.r.o.",26036657,výroba dopravních prostředků,,výroba,Itálie,10.665524135961155,9.92583534915867,373.4,80.0,T,,,,,0.42,139.9,Strakonice,Jihočeský,,2001,,prosinec,2001,False,True
91,KOITO CZECH s.r.o.,26438771,výroba dopravních prostředků,,výroba,Japonsko,75.235646958012,70.01781014912677,2634,340.0,T,J,R,,,0.5,809.5,Louny,Ústecký,,2001,,prosinec,2001,False,False
92,"Jihlavské sklárny BOHEMIA, a.s.",49452801,sklářský,,výroba,Česká republika,34.61868037703513,32.217762300964935,1212,200.0,T,,,,,0.5,396.0,Jihlava,Vysočina,,2001,,leden,2002,False,True
93,Nemak Europe s.r.o.,26318890,výroba dopravních prostředků,,výroba,Mexiko,314.7091412742382,317.1514711629724,11361,1361.0,T,J,R,,,0.5,4453.0,Most,Ústecký,,2000,,leden,2002,False,False
94,SAI Automotive Bohemia s.r.o.,62909037,výroba dopravních prostředků,,výroba,Německo,21.83824621536704,20.32369281480103,764.557,110.0,T,,,,,0.35,248.8,Mladá Boleslav,Středočeský,,2001,,leden,2002,False,False
95,"ROHDE & SCHWARZ závod Vimperk, s.r.o.",26034441,elektronický a elektrotechnický,,výroba,Německo,17.309340188517567,16.108881150482468,606,260.0,T,,,,,0.4,200.0,Prachatice,Jihočeský,,2001,,leden,2002,False,False
96,"Saint – Gobain Vertex, a.s.",12661,ostatní,,výroba,Německo,104.99857183661811,97.71657938807517,3676,182.0,T,,,,,0.5,1838.0,Znojmo,Jihomoravský,,2001,,leden,2002,False,True
97,RUBENA a.s.,46504761,gumárenský a plastikářský,,výroba,Česká republika,16.852327906312482,15.683564156410325,590,46.0,T,,,,,0.36,211.32,"Náchod, Hradec Králové",Královéhradecký,,2001,,leden,2002,False,False
98,MUBEA - HZP s.r.o.,25528165,výroba dopravních prostředků,,výroba,Švýcarsko,11.09397315052842,10.324570031101304,388.4,55.0,T,J,R,,,0.5,163.7,Prostějov,Olomoucký,,2001,,únor,2002,False,False
99,"UNILEVER ČR, spol. s r.o.",18627781,potravinářský,,výroba,Nizozemí,15.36703798914596,14.301283925675856,538,30.0,T,,,,,0.36,124.2,Mělník,Středočeský,,2001,,únor,2002,False,False
100,"MAFRA, a.s.",45313351,papírenský,,výroba,Německo,159.25761772853184,160.49355144883032,5749.2,55.0,T,J,R,,,0.5,435.166,"Olomouc, Praha","Olomoucký, Hl. město Praha",,2000,,únor,2002,False,False
101,PULS investiční s.r.o.,25425846,elektronický a elektrotechnický,,výroba,Německo,15.452727792059413,14.381030862064382,541,500.0,T,J,R,,,0.5,270.5,Chomutov,Ústecký,,2001,,duben,2002,False,False
102,Mölnlycke Health Care Klinipro s.r.o.,25886665,chemický a farmaceutický,,výroba,Švédsko,12.002285061411026,11.169887556819692,420.2,150.0,T,J,R,,,0.5,131.5,Karviná,Moravskoslezský,,2001,,duben,2002,False,False
103,"VEBA, textilní závody a.s.",45534276,textilní,,výroba,Česká republika,11.625249928591831,10.819001036710173,407,0.0,T,,,,,0.35,123.55,Náchod,Královéhradecký,,2001,,duben,2002,False,False
104,F.X.MEILLER Slaný s.r.o.,49706454,výroba dopravních prostředků,,výroba,Česká republika,11.196800914024566,10.420266354767538,392,80.0,T,J,R,,,0.5,132.125,Kladno,Středočeský,,2001,,květen,2002,False,True
105,EPCOS s.r.o.,25569341,elektronický a elektrotechnický,,výroba,Německo,12.107969151670952,11.268242111698875,423.9,634.0,T,,R,,,0.5,202.7,Šumperk,Olomoucký,,2001,,květen,2002,False,False
106,SANDVIK CHOMUTOV PRECISION TUBES spol. s r.o.,60278773,strojírenský,,výroba,Švédsko,10.168523279063125,9.463303118105213,356,50.0,T,J,R,,,0.5,178.0,Chomutov,Ústecký,,2001,,květen,2002,False,False
107,Automotive Lighting s.r.o.,25133152,výroba dopravních prostředků,,výroba,Rakousko,25.549842902027994,23.777878199845823,894.5,0.0,T,,,,,0.384,298.7,Jihlava,Vysočina,,2001,,květen,2002,False,False
108,"KAUČUK, a.s.",25053272,chemický a farmaceutický,,výroba,Česká republika,34.27592116538132,31.89877455541083,1200,0.0,T,,,,,0.35,293.125,Most,Ústecký,,2001,,červen,2002,False,False
109,RECTICEL Interiors CZ s.r.o.,26482193,výroba dopravních prostředků,,výroba,Nizozemí,10.911168237646388,10.154443233472447,382,35.0,T,,,,,0.45,151.65,Mladá Boleslav,Středočeský,,2001,,červen,2002,False,False
110,"INVOS, spol. s r.o.",44004036,gumárenský a plastikářský,,výroba,"Kanada, Česká republika",14.224507283633248,13.237991440495495,498,67.0,,J,R,,,0.64,300.48,"Uherské Hradiště, Bruntál","Zlínský, Moravskoslezský",,2001,,červen,2002,True,False
111,Electric Powersteering Components Europe s.r.o.,26464276,výroba dopravních prostředků,,výroba,Japonsko,14.58154812910597,13.570270342114357,510.5,120.0,T,J,R,,,0.5,216.65,Kladno,Středočeský,,2001,,červen,2002,False,False
112,"Kimberly - Clark, s.r.o.",63468816,chemický a farmaceutický,,výroba,USA,22.964867180805484,21.372178952125257,804,196.0,T,,,,,0.5,390.0,Náchod,Královéhradecký,,2001,,červen,2002,False,True
113,Rieter CZ a.s.,60112301,výroba dopravních prostředků,,výroba,Švýcarsko,30.048557554984292,27.964592360243493,1052,380.0,T,,,,,0.4,421.2,Ústí nad Orlicí,Pardubický,,2001,,červen,2002,False,False
114,AIR PRODUCTS spol. s r.o.,41324226,chemický a farmaceutický,,výroba,USA,25.70694087403599,23.924080916558122,900,3.0,T,,,,,0.35,297.5,Děčín,Ústecký,,2001,,červen,2002,False,False
115,PEGAS - NT a.s.,26287153,textilní,,výroba,Česká republika,35.763888888888886,32.33816645735814,1133,45.0,T,J,,,,0.45,509.85,Znojmo,Jihomoravský,,2002,,červenec,2002,False,False
116,DENSO MANUFACTURING CZECH s.r.o.,25432338,výroba dopravních prostředků,,výroba,Japonsko,273.49328763210514,254.52563864004892,9575,936.0,T,,,,,0.5,2564.0,Liberec,Liberecký,,2001,,červenec,2002,False,False
117,Wiegel CZ žárové zinkování s.r.o.,26259125,strojírenský,,výroba,Německo,11.368180519851471,10.579760227544591,398,160.0,T,,,,,0.4,140.0,Hradec Králové,Královéhradecký,,2001,,červenec,2002,False,False
118,"Visteon-Nichirin-Czech, s.r.o.",25883577,gumárenský a plastikářský,,výroba,USA,5.2927734932876325,4.925702437598023,185.3,34.0,T,J,R,,,0.5,87.5,Karviná,Moravskoslezský,,2001,,srpen,2002,False,True
119,TRCZ s.r.o.,26486059,výroba dopravních prostředků,,výroba,Japonsko,46.28963153384747,43.079295037082325,1620.6,270.0,T,J,R,,,0.45,525.9,Litoměřice,Ústecký,,2001,,srpen,2002,False,False
120,Schwarzmüller s.r.o.,46885820,výroba dopravních prostředků,,výroba,Rakousko,10.634590117109399,9.897046705122412,372.317,70.0,T,,,,,0.4,146.7,Beroun,Středočeský,,2001,,srpen,2002,False,False
121,RONAL CR s.r.o.,49812106,výroba dopravních prostředků,,výroba,Lucembursko,50.05540166204986,50.44386131427614,1807,550.0,T,,,,,0.45,689.4,"Pardubice, Jičín","Královéhradecký, Pardubický",,2000,,září,2002,False,False
122,LINDE TECHNOPLYN a.s.,11754,chemický a farmaceutický,,výroba,Německo,13.977320765495573,13.007948111326723,489.346,0.0,T,,,,,0.27,98.85,Mělník,Středočeský,,2001,,říjen,2002,False,False
123,IRCR Manufacturing s.r.o.,26489201,výroba dopravních prostředků,,výroba,Nizozemí,45.38988860325621,42.24195220500279,1589.1,578.0,T,J,R,,,0.5,768.589,"Příbram, Olomouc","Středočeský, Olomoucký",,2001,,říjen,2002,False,False
124,"Nejdecká česárna vlny, a.s.",63509326,textilní,,výroba,Velká Británie,17.28077692087975,16.08229883835296,605,60.0,T,,,,,0.5,302.5,Karlovy Vary,Karlovarský,,2001,,říjen,2002,False,False
125,SKV s.r.o. / Siemens kolejová vozidla s.r.o.,26182025,strojírenský,,výroba,Německo,20.165666952299343,18.767112363433373,706,800.0,T,,,,,0.18,183.06,Praha,Hl. město Praha,,2001,,listopad,2002,False,True
